mass,961.9
size,293.8,204.1,326.1
Average Velocity,15.43
Velocity Stdev,8.473
Straight Factor,0.00598
Frame Z Position Stdev,0.59


Time(s),Path(x),Path(y),Path(z),Pos(x),Pos(y),Pos(z),force(x),force(y),force(z)
12.03,-2.707,-0.1775,-0.2565,-0.9951,0.0002227,0.2598,-0.1553,0.00729,0.1512
12.05,-2.629,-0.1736,-0.2568,-0.9993,0.0002348,0.2601,-0.1817,0.007077,0.1628
12.07,-2.551,-0.1698,-0.2571,-1.004,0.0002365,0.2605,-0.2016,0.004225,0.1701
12.1,-2.473,-0.1659,-0.2571,-1.01,0.000236,0.2608,-0.2114,0.002084,0.1783
12.13,-2.395,-0.162,-0.2572,-1.016,0.0002268,0.2608,-0.208,0.001265,0.1916
12.15,-2.317,-0.1581,-0.2573,-1.023,0.0002231,0.261,-0.1941,0.001037,0.1805
12.18,-2.239,-0.1543,-0.2573,-1.03,0.0002203,0.2611,-0.1838,0.0002123,0.1774
12.2,-2.16,-0.1506,-0.2573,-1.038,0.0002083,0.2606,-0.1627,-0.0002138,0.1674
12.22,-2.082,-0.147,-0.2572,-1.045,0.0001987,0.2604,-0.1384,-0.0003696,0.1566
12.25,-2.003,-0.142,-0.2571,-1.052,0.0001949,0.2602,-0.113,-0.0004446,0.1472
12.28,-1.924,-0.1363,-0.257,-1.058,0.0001914,0.2602,-0.09181,0.003051,0.1482
12.3,-1.845,-0.1316,-0.257,-1.063,0.0002014,0.2602,-0.06977,0.004573,0.1582
12.32,-1.766,-0.1276,-0.257,-1.067,0.000198,0.2603,-0.04929,0.005168,0.1695
12.35,-1.687,-0.1242,-0.257,-1.07,0.0001925,0.2603,-0.03462,0.005436,0.1771
12.38,-1.609,-0.1212,-0.257,-1.073,0.0001925,0.2605,-0.02797,0.005585,0.1782
12.4,-1.53,-0.1183,-0.2571,-1.076,0.0002009,0.2606,-0.03026,0.005522,0.2072
12.43,-1.451,-0.1151,-0.2572,-1.08,0.0002042,0.2607,-0.03255,0.005419,0.2363
12.45,-1.373,-0.1117,-0.2572,-1.083,0.0002019,0.2609,-0.03451,0.005301,0.2655
12.47,-1.295,-0.1079,-0.2572,-1.087,0.0002012,0.261,-0.03581,0.005193,0.2927
12.5,-1.216,-0.104,-0.2572,-1.091,0.0002037,0.261,-0.03668,0.005072,0.3173
12.53,-1.138,-0.09981,-0.2571,-1.095,0.0002121,0.261,-0.03194,0.001484,0.3239
12.55,-1.059,-0.09543,-0.257,-1.1,0.0002348,0.2611,-0.02864,0.0006982,0.3057
12.57,-0.9805,-0.09105,-0.2571,-1.104,0.000267,0.2611,-0.02708,0.0004842,0.2947
12.6,-0.902,-0.08641,-0.2569,-1.109,0.0002591,0.2611,-0.02561,0.0003677,0.2864
12.63,-0.8234,-0.08144,-0.2567,-1.114,0.0002248,0.2611,-0.02392,0.0002983,0.2789
12.65,-0.7447,-0.0764,-0.2564,-1.12,0.0002139,0.2607,-0.022,0.000233,0.2721
12.68,-0.6659,-0.07151,-0.2558,-1.125,0.0002169,0.2604,-0.01949,0.0001502,0.265
