mass,4008
size,298.8,145.5,326.9
Average Velocity,67.138
Velocity Stdev,17.961
Straight Factor,0.000555
Frame Z Position Stdev,0.44


Time(s),Path(x),Path(y),Path(z),Pos(x),Pos(y),Pos(z),force(x),force(y),force(z)
12.03,2.416,-0.1935,-0.2455,-4.247,0.0007592,0.262,-0.01504,-0.009295,0.08808
12.05,2.808,-0.2012,-0.2525,-4.264,0.0008892,0.2616,-0.00169,-0.004817,0.05259
12.07,-3.047,-0.1977,-0.2546,-4.282,0.001186,0.2613,-0.002388,-0.0003382,0.01918
12.1,-2.635,-0.1836,-0.2551,-4.298,0.0009405,0.2613,-0.006686,0.001029,0.03061
12.13,-2.289,-0.1654,-0.2557,-4.315,0.0009796,0.2612,-0.0236,0.004309,0.05873
12.15,-1.997,-0.1476,-0.2565,-4.331,0.001037,0.2611,-0.05038,0.004224,0.0978
12.18,-1.737,-0.1306,-0.2567,-4.349,0.001088,0.2614,-0.07799,0.002654,0.1431
12.2,-1.499,-0.1141,-0.2566,-4.366,0.0009975,0.2616,-0.1028,0.0001311,0.1907
12.22,-1.243,-0.09821,-0.2563,-4.383,0.0008393,0.262,-0.1247,-0.002774,0.2372
12.25,-0.9409,-0.08341,-0.256,-4.399,0.0006877,0.2619,-0.1435,-0.006076,0.2839
12.28,-0.5823,-0.06801,-0.2554,-4.416,0.0007134,0.2618,-0.1592,-0.009549,0.3291
12.3,-0.1724,-0.05416,-0.2533,-4.433,0.001058,0.2606,-0.1564,-0.009846,0.3298
12.32,0.2648,-0.05136,-0.2493,-4.45,0.001037,0.2607,-0.1538,-0.009811,0.3219
12.35,0.6508,-0.06048,-0.2399,-4.465,0.0008662,0.261,-0.1496,-0.01123,0.3104
12.38,0.9685,-0.07908,-0.2272,-4.481,0.0008556,0.2611,-0.1327,-0.01451,0.2822
12.4,1.241,-0.1021,-0.2161,-4.498,0.0008327,0.2611,-0.1059,-0.01443,0.2432
12.43,1.483,-0.1256,-0.2112,-4.515,0.0007702,0.2615,-0.07831,-0.01286,0.1978
12.45,1.723,-0.1496,-0.2154,-4.532,0.0006318,0.2618,-0.05348,-0.01034,0.1503
12.47,2.005,-0.1729,-0.2279,-4.548,0.0004344,0.2619,-0.03159,-0.00743,0.1037
12.5,2.344,-0.1909,-0.243,-4.565,0.0003572,0.2619,-0.01277,-0.004129,0.05708
12.53,2.733,-0.2005,-0.2517,-4.582,0.0004057,0.2617,0.002446,-0.0005898,0.01971
12.55,-3.124,-0.1994,-0.2544,-4.599,0.0007884,0.2612,-0.001373,-0.000554,0.01867
12.57,-2.702,-0.1868,-0.2551,-4.616,0.0006239,0.261,-0.005521,-0.0001262,0.03035
12.6,-2.342,-0.1688,-0.2556,-4.632,0.0006669,0.2613,-0.02369,0.006108,0.05796
12.63,-2.042,-0.1501,-0.2564,-4.649,0.0007226,0.2611,-0.05276,0.006919,0.09518
12.65,-1.779,-0.1332,-0.2568,-4.666,0.0007609,0.2613,-0.08489,0.005259,0.1382
12.68,-1.539,-0.1161,-0.2566,-4.683,0.0006254,0.2616,-0.1155,0.002608,0.1827
12.7,-1.29,-0.1004,-0.2564,-4.7,0.0004606,0.2619,-0.143,-0.0007548,0.228
12.72,-0.9944,-0.08543,-0.2562,-4.717,0.0002983,0.2618,-0.1679,-0.0044,0.2728
12.75,-0.6456,-0.0697,-0.2553,-4.733,0.0003433,0.2618,-0.1895,-0.008348,0.3171
12.78,-0.2406,-0.05577,-0.2538,-4.75,0.0007399,0.2608,-0.1923,-0.009461,0.325
12.8,0.1963,-0.05122,-0.2504,-4.767,0.001104,0.2609,-0.1884,-0.009905,0.3204
12.82,0.5969,-0.05848,-0.2418,-4.783,0.0008023,0.2607,-0.1849,-0.01002,0.3073
12.85,0.9271,-0.07619,-0.2291,-4.799,0.0008114,0.2611,-0.1668,-0.01625,0.2797
12.88,1.204,-0.09885,-0.2174,-4.815,0.000793,0.2611,-0.1377,-0.01706,0.2425
12.9,1.452,-0.1223,-0.2112,-4.832,0.0008198,0.2614,-0.1056,-0.0154,0.1995
12.93,1.689,-0.1461,-0.2138,-4.85,0.0006232,0.2615,-0.07495,-0.01275,0.155
12.95,1.96,-0.1695,-0.2257,-4.866,0.0004338,0.2619,-0.0475,-0.009387,0.1096
12.97,2.291,-0.1886,-0.2412,-4.882,0.0002352,0.2619,-0.02261,-0.005742,0.06486
13,2.674,-0.1997,-0.251,-4.899,0.0002295,0.2619,-0.001266,-0.001746,0.02634
13.03,3.093,-0.2004,-0.2542,-4.917,0.0006707,0.2613,0.0004676,-0.001046,0.02018
13.05,-2.764,-0.1892,-0.255,-4.934,0.0007492,0.2613,-0.004321,-0.0006252,0.02532
13.07,-2.395,-0.1716,-0.2555,-4.95,0.0006221,0.2612,-0.02,0.004674,0.05096
13.1,-2.088,-0.1529,-0.2564,-4.967,0.0006007,0.2612,-0.04771,0.006035,0.08663
13.13,-1.82,-0.1357,-0.2568,-4.984,0.000661,0.2612,-0.08068,0.003841,0.1286
13.15,-1.578,-0.1192,-0.2568,-5.001,0.0006273,0.2616,-0.112,0.0003115,0.1729
13.18,-1.333,-0.1025,-0.2562,-5.018,0.0004538,0.2616,-0.1403,-0.003998,0.2179
13.2,-1.045,-0.08731,-0.256,-5.035,0.0002979,0.2618,-0.1653,-0.008752,0.263
13.22,-0.7017,-0.07209,-0.2556,-5.051,0.0002387,0.2617,-0.1869,-0.01374,0.3077
13.25,-0.3032,-0.05713,-0.2539,-5.068,0.0005485,0.261,-0.2026,-0.01898,0.3461
13.28,0.1316,-0.05113,-0.2511,-5.085,0.001037,0.2609,-0.194,-0.02354,0.3681
