mass,911.4
size,265.7,204.2,304.7
Average Velocity,9.877
Velocity Stdev,19.547
Straight Factor,0.001897
Frame Z Position Stdev,3.019


Time(s),Path(x),Path(y),Path(z),Pos(x),Pos(y),Pos(z),force(x),force(y),force(z)
12.03,2.849,-0.1954,-0.1995,0.6717,0.0001237,0.2256,5.898e-05,1.715e-05,-2.911e-05
12.05,2.928,-0.1927,-0.1982,0.6699,0.0001233,0.2265,7.386e-05,-1.223e-07,-6.867e-05
12.07,3.006,-0.1898,-0.1971,0.6687,0.00013,0.2272,7.473e-05,-7.023e-08,-6.735e-05
12.1,3.084,-0.1867,-0.196,0.6678,0.0001231,0.2276,7.465e-05,2.421e-08,-6.593e-05
12.13,-3.121,-0.1835,-0.1951,0.6677,0.0001247,0.2283,7.404e-05,5.951e-08,-6.574e-05
12.15,-3.043,-0.1803,-0.1943,0.669,0.0001243,0.2289,7.273e-05,1.674e-08,-6.475e-05
12.18,-2.964,-0.177,-0.1936,0.6716,0.0001224,0.2295,7.206e-05,7.463e-09,-6.41e-05
12.2,-2.887,-0.1737,-0.193,0.6754,0.0001256,0.2302,7.166e-05,3.663e-08,-6.457e-05
12.22,-2.808,-0.1704,-0.1925,0.6805,0.000131,0.2308,7.119e-05,2.59e-08,-6.526e-05
12.25,-2.731,-0.1671,-0.1921,0.6867,0.0001317,0.2315,7.052e-05,2.906e-08,-6.657e-05
12.28,-2.653,-0.1637,-0.1918,0.694,0.0001357,0.2322,7.002e-05,4.142e-08,-6.727e-05
12.3,-2.575,-0.1604,-0.1917,0.7024,0.0001319,0.2326,6.955e-05,5.31e-08,-6.813e-05
12.32,-2.497,-0.157,-0.1916,0.7116,0.0001355,0.233,6.922e-05,6.53e-08,-6.905e-05
12.35,-2.419,-0.1537,-0.1917,0.7217,0.000143,0.2332,6.812e-05,9.979e-09,-6.947e-05
12.38,-2.342,-0.1503,-0.1919,0.7323,0.0001443,0.2333,6.751e-05,2.557e-08,-6.862e-05
12.4,-2.263,-0.1468,-0.1922,0.7435,0.0001489,0.2333,6.797e-05,1.718e-08,-6.835e-05
12.43,-2.185,-0.1434,-0.1927,0.7551,0.0001541,0.233,6.745e-05,1.023e-08,-6.739e-05
12.45,-2.106,-0.1399,-0.1933,0.7665,0.0001611,0.2325,6.799e-05,4.345e-08,-6.618e-05
12.47,-2.028,-0.1363,-0.1941,0.7773,0.0001625,0.2317,6.886e-05,2.865e-08,-6.471e-05
12.5,-1.948,-0.1327,-0.1949,0.7869,0.0001684,0.2308,7.011e-05,4.079e-08,-6.254e-05
12.53,-1.869,-0.1291,-0.1959,0.7951,0.0001748,0.2297,7.181e-05,1.83e-08,-6.086e-05
12.55,-1.79,-0.1255,-0.1971,0.8018,0.0001864,0.2287,7.336e-05,-4.703e-08,-5.981e-05
12.57,-1.711,-0.1218,-0.1983,0.807,0.0002512,0.2279,7.438e-05,-3.122e-08,-5.891e-05
12.6,-1.632,-0.1182,-0.1996,0.811,0.0002564,0.2273,7.569e-05,9.097e-08,-5.95e-05
12.63,-1.554,-0.1145,-0.201,0.814,0.0002263,0.2268,7.633e-05,9.921e-08,-5.961e-05
12.65,-1.475,-0.1108,-0.2025,0.816,0.0002064,0.2262,7.619e-05,3.657e-08,-5.966e-05
12.68,-1.397,-0.1071,-0.204,0.8168,0.0002031,0.2255,7.627e-05,8.625e-08,-6.06e-05
12.7,-1.318,-0.1034,-0.2056,0.8164,0.0001999,0.2247,7.524e-05,9.689e-09,-6.173e-05
12.72,-1.24,-0.09977,-0.2072,0.815,0.0002065,0.2237,7.427e-05,4.136e-08,-6.423e-05
12.75,-1.161,-0.09614,-0.2089,0.8126,0.0002119,0.223,7.224e-05,2.932e-08,-6.729e-05
12.78,-1.083,-0.0925,-0.2105,0.8091,0.0001982,0.2222,6.93e-05,1.068e-07,-6.999e-05
12.8,-1.004,-0.08901,-0.2122,0.8049,0.0002104,0.2214,-0.000289,6.194e-05,0.001326
12.82,-0.9248,-0.08554,-0.2138,0.8001,0.0002208,0.2206,-0.001283,0.0001853,0.01375
12.85,-0.8459,-0.08214,-0.2153,0.7947,0.0002113,0.2195,0.0005025,9.719e-05,0.03994
12.88,-0.7677,-0.07695,-0.215,0.7893,0.0001955,0.2197,0.003075,0.002192,0.0684
12.9,-0.6895,-0.07251,-0.2157,0.7847,0.0001933,0.2206,0.007882,0.00332,0.09571
12.93,-0.6112,-0.06882,-0.2168,0.7808,0.0002026,0.2218,0.01411,0.003762,0.1222
12.95,-0.5329,-0.06597,-0.218,0.7774,0.0001976,0.2229,0.02146,0.003843,0.1488
12.97,-0.4546,-0.06323,-0.219,0.7744,0.0001942,0.2242,0.02984,0.003769,0.1744
13,-0.3764,-0.06104,-0.22,0.772,0.0001825,0.2252,0.03864,0.003606,0.1988
13.03,-0.2979,-0.05938,-0.2208,0.7701,0.0001841,0.2261,0.04421,0.00349,0.2139
13.05,-0.2196,-0.05853,-0.2215,0.7687,0.0001862,0.2266,0.04795,0.004018,0.2247
13.07,-0.1413,-0.05782,-0.222,0.7678,0.000183,0.2273,0.05536,0.004089,0.23
13.1,-0.06311,-0.05776,-0.2224,0.7676,0.0001839,0.2278,0.06134,0.004196,0.2238
13.13,0.01505,-0.0588,-0.223,0.7684,0.0001912,0.2284,0.06715,0.00205,0.2162
13.15,0.09331,-0.06122,-0.2236,0.7707,0.0001851,0.229,0.07099,0.0008202,0.2105
13.18,0.1713,-0.0651,-0.2243,0.7743,0.0001897,0.2296,0.0743,0.0002294,0.2062
13.2,0.2489,-0.06984,-0.2249,0.779,0.00019,0.2303,0.07666,-1.273e-05,0.2012
13.22,0.327,-0.07565,-0.2256,0.7848,0.0001853,0.231,0.07795,-0.0001146,0.1973
13.25,0.4049,-0.08249,-0.2263,0.7917,0.0001929,0.2316,0.07871,-0.0001273,0.1947
13.28,0.4828,-0.09034,-0.2268,0.7996,0.0001895,0.2322,0.08256,-0.0001805,0.2018
13.3,0.5606,-0.09912,-0.2273,0.8085,0.0002042,0.2325,0.08852,-0.0009595,0.2125
13.32,0.6389,-0.1086,-0.2276,0.8182,0.0002048,0.2328,0.09133,-0.001351,0.2178
13.35,0.717,-0.1187,-0.2277,0.8285,0.0002056,0.233,0.08523,-0.0009483,0.204
13.38,0.795,-0.129,-0.2278,0.8393,0.0002292,0.2329,0.08092,-0.0006431,0.1996
13.4,0.8733,-0.1391,-0.2277,0.8506,0.0002356,0.2328,0.0745,-0.0007016,0.1991
